case,dx,k,ptenh,pqenh,puen,pven,pten,pqsen,pgeo,pgeoh,paph,ptu,pqu,plu,puu,pvu,ptd_in,pqd_in,pmfd_in,pmfds_in,pmfdq_in,pdmfdp_in
3,1500.0,2,43526077,385C7D10,421886F0,00000000,43468000,3708CB70,4826E611,482F184B,45EE9B40,432C3572,339E8FCF,00000000,42263741,00000000,43526077,385C7D10,00000000,00000000,00000000,00000000
3,1500.0,3,434907F0,36E35496,420DC514,00000000,434B8FE0,37688C24,481842F4,481EB3D7,46202EB0,43445A51,36A8D0F7,3A428106,421886F0,00000000,434ECE7C,37BB3D0A,00000000,00000000,00000000,00000000
3,1500.0,4,434F3A4A,3762CBD2,4204BF23,00000000,4352E4B4,380A66C9,480C6AFA,4811D211,4648C210,43516A62,37F70AB0,3A9FC154,420DC514,00000000,43521359,37E174E0,00000000,00000000,00000000,00000000
3,1500.0,5,43585074,384E4FFD,41F9E55F,00000000,43593AD2,388AF666,48025881,480703E4,467106C0,435C36BE,38DE0E21,3AEB035C,4204BF23,00000000,43585074,384E4FFD,00000000,00000000,00000000,00000000
3,1500.0,6,435DDC27,38A9D359,41EC2179,00000000,435ED267,38F7CAAE,47F31C49,47FB5A3C,468C7DC8,43653FCD,39911C33,3B1DFB6C,41F9E55F,00000000,435DDC27,38A9D359,00000000,00000000,00000000,00000000
3,1500.0,7,4362D794,390105A1,41DFCB2A,00000000,4363D578,394A7A02,47E37B48,47EADE56,46A04FA4,436CCDA3,3A16E5D6,3B4569A8,41EC2179,00000000,4362D794,390105A1,00000000,00000000,00000000,00000000
3,1500.0,8,43675C9A,39384D61,41D49AD5,00000000,4368611A,399ACEC6,47D56531,47DC183A,46B3F860,437319BA,3A846AAE,3B6923C2,41DFCB2A,00000000,43675C9A,39384D61,00000000,00000000,00000000,00000000
3,1500.0,9,436B7F32,397ACE50,41CA5CB1,00000000,436C8A58,39E0AFC1,47C89025,47CEB229,46C77754,43785E04,3ACC9C47,3B843707,41D49AD5,00000000,436B7F32,397ACE50,00000000,00000000,00000000,00000000
3,1500.0,10,436F4EEF,39A42D62,41C0E9FA,00000000,437060F2,3A1C5B3E,47BCC5E8,47C26E1F,46DACBE0,437CCEE6,3B0FAADB,3B921070,41CA5CB1,00000000,436F4EEF,39A42D62,00000000,00000000,00000000,00000000
3,1500.0,11,4372D828,39E262F9,41B824EA,00000000,4373F101,3A524249,47B1DD73,47B71DB1,46EDF550,43804183,3B3CE25B,3B9C4BDE,41C0E9FA,00000000,4372D828,39E262F9,00000000,00000000,00000000,00000000
